date,open,close,high,low,volume,ask_close,bid_close,ask_open,bid_open
2013-01-02,144.91,145.82,146.1575,142.398,192700020.0,145.82,145.81,144.91,144.9
2013-01-03,145.91,145.73,146.37,145.34,142464794.0,145.75,145.72,145.91,145.91
2013-01-04,146.0,146.33,146.61,145.67,112735212.0,146.37,146.33,146.0,145.99
2013-01-07,145.85,145.99,146.45,145.43,109620278.0,145.99,145.98,145.85,145.85
2013-01-08,145.65,145.62,146.037,144.98,122588765.0,145.62,145.58,145.66,145.66
2013-01-09,145.88,145.94,146.32,145.5653,89934746.0,145.94,145.93,145.88,145.86
2013-01-10,146.71,147.4,147.46,145.9517,129957345.0,147.41,147.39,146.71,146.7
2013-01-11,147.04,147.09,147.15,146.4834,113006983.0,147.14,147.09,147.04,147.03
2013-01-14,147.0,146.86,147.07,146.43,86856494.0,146.88,146.86,147.0,146.99
2013-01-15,146.23,147.1,147.21,146.2,92421969.0,147.1,147.09,146.24,146.23
2013-01-16,146.555,146.83,147.364,146.555,102871492.0,146.84,146.83,146.56,146.55
2013-01-17,147.76,147.87,148.42,147.05,131342418.0,147.87,147.86,147.77,147.76
2013-01-18,148.0,148.38,148.49,147.43,177058667.0,148.4,148.38,148.01,148.0
2013-01-22,148.23,149.46,149.5,147.98,110745112.0,149.46,149.44,148.22,148.21
2013-01-23,149.09,148.75,149.59,148.65,103474216.0,148.78,148.75,149.09,149.08
2013-01-24,149.35,149.26,150.14,149.01,144652658.0,149.26,149.22,149.36,149.35
2013-01-25,149.92,150.03,150.29,149.3726,146491720.0,150.04,150.03,149.91,149.9
2013-01-28,150.33,149.92,150.34,149.4643,116396902.0,149.94,149.91,150.32,150.31
2013-01-29,149.73,150.8,150.94,149.65,103627219.0,150.81,150.78,149.72,149.71
2013-01-30,150.53,149.89,150.94,149.75,138449225.0,149.92,149.9,150.53,150.53
2013-01-31,149.87,150.11,150.38,149.6,105473975.0,150.11,150.11,149.87,149.86
2013-02-01,150.77,151.2,151.42,149.7,127234203.0,151.26,151.2,150.77,150.75
2013-02-04,150.37,149.67,151.28,149.43,154304955.0,149.69,149.67,150.38,150.37
2013-02-05,150.37,151.04,151.48,149.5424,112010241.0,151.05,151.01,150.37,150.37
2013-02-06,150.36,151.04,151.26,150.35,134849290.0,151.08,151.06,150.36,150.35
2013-02-07,151.22,150.86,151.45,149.86,160171466.0,150.88,150.86,151.22,151.21
2013-02-08,151.16,151.8,151.89,150.9864,103939441.0,151.8,151.75,151.17,151.16
2013-02-11,151.74,151.67,151.9,151.3938,72896953.0,151.69,151.67,151.75,151.74
2013-02-12,151.81,152.16,152.3,151.61,64262667.0,152.17,152.16,151.82,151.81
2013-02-13,152.3,152.05,152.61,151.72,81176853.0,152.07,152.05,152.3,152.3
2013-02-14,151.7,152.27,152.47,151.52,76326160.0,152.27,152.25,151.71,151.7
2013-02-15,152.29,152.17,152.59,151.55,227382179.0,152.2,152.17,152.3,152.28
2013-02-19,152.42,153.23,153.29,152.1629,94006689.0,153.23,153.22,152.42,152.41
2013-02-20,153.22,151.2,153.29,151.07,160856011.0,151.2,151.19,153.23,153.22
2013-02-21,150.92,150.7,151.4218,149.94,173537507.0,150.71,150.69,150.93,150.92
2013-02-22,151.27,151.91,151.95,150.4913,105149120.0,151.9,151.89,151.28,151.27
2013-02-25,152.56,149.12,152.86,148.61,235024763.0,149.13,149.11,152.57,152.56
2013-02-26,149.81,149.75,150.2,148.73,184343235.0,149.75,149.73,149.82,149.81
2013-02-27,149.73,151.97,152.33,149.69,150330570.0,151.99,151.97,149.76,149.74
2013-02-28,152.08,151.54,152.87,151.34,124248404.0,151.55,151.52,152.09,152.08
2013-03-01,151.13,152.08,152.34,150.41,167563416.0,152.08,152.05,151.14,151.13
2013-03-04,151.84,153.09,153.17,151.44,96198392.0,153.1,153.08,151.85,151.85
2013-03-05,153.65,154.36,154.97,152.8386,119254814.0,154.36,154.32,153.66,153.64
2013-03-06,154.86,154.37,154.92,154.16,92916614.0,154.39,154.36,154.88,154.87
2013-03-07,154.74,154.69,154.98,154.49,84785513.0,154.69,154.66,154.74,154.74
2013-03-08,155.27,155.45,155.65,154.66,118190514.0,155.45,155.41,155.28,155.26
2013-03-11,155.25,156.01,156.15,155.0951,80525717.0,156.03,156.01,155.26,155.25
2013-03-12,155.86,155.69,156.1,155.21,104184756.0,155.7,155.69,155.86,155.85
